q1,q2,q3,q4,q5
-0.293958917,-0.063635882,-0.409529703,0.473165585,1.570796327
-0.291873701,-0.083965687,-0.389290003,0.473255690,1.570796327
-0.289513545,-0.104018488,-0.368899063,0.472917551,1.570796327
-0.286879651,-0.123672324,-0.348535088,0.472207412,1.570796327
-0.283973385,-0.142784260,-0.328421987,0.471206247,1.570796327
-0.280796289,-0.161184937,-0.308840291,0.470025228,1.570796327
-0.277350085,-0.178672372,-0.290139555,0.468811927,1.570796327
-0.273636691,-0.195005959,-0.272750310,0.467756269,1.570796327
-0.269658221,-0.209902957,-0.257191026,0.467093983,1.570796327
-0.265417005,-0.223041686,-0.244061643,0.467103329,1.570796327
-0.260915592,-0.234077494,-0.234011528,0.468089022,1.570796327
-0.256156764,-0.242676900,-0.227671105,0.470348005,1.570796327
-0.251143548,-0.248568511,-0.225549896,0.474118407,1.570796327
-0.245879224,-0.251596442,-0.227929607,0.479526049,1.570796327
-0.240367339,-0.251752122,-0.234800408,0.486552530,1.570796327
-0.234611715,-0.249167387,-0.245874687,0.495042074,1.570796327
-0.228616461,-0.244073770,-0.260668408,0.504742179,1.570796327
-0.222385983,-0.236750064,-0.278605973,0.515356037,1.570796327
-0.215924995,-0.227478885,-0.299107074,0.526585959,1.570796327
-0.209238524,-0.216520625,-0.321638828,0.538159453,1.570796327
-0.202331923,-0.204102803,-0.345737139,0.549839942,1.570796327
-0.195210873,-0.190419124,-0.371008665,0.561427790,1.570796327
-0.187881393,-0.175633245,-0.397123424,0.572756669,1.570796327
-0.180349842,-0.159884063,-0.423804370,0.583688433,1.570796327
-0.172622925,-0.143290955,-0.450817121,0.594108076,1.570796327
-0.164707693,-0.125958315,-0.477961098,0.603919413,1.570796327
-0.156611540,-0.107979258,-0.505062380,0.613041639,1.570796327
-0.148342210,-0.089438532,-0.531968147,0.621406679,1.570796327
-0.139907783,-0.070414775,-0.558542456,0.628957231,1.570796327
-0.131316677,-0.050982243,-0.584663087,0.635645330,1.570796327
-0.122577638,-0.031212124,-0.610219213,0.641431337,1.570796327
-0.113699729,-0.011173527,-0.635109712,0.646283240,1.570796327
-0.104692322,0.009065782,-0.659241967,0.650176185,1.570796327
-0.095565079,0.029438852,-0.682531036,0.653092184,1.570796327
-0.086327943,0.049879177,-0.704899119,0.655019942,1.570796327
-0.076991114,0.070320469,-0.726275230,0.655954761,1.570796327
-0.067565031,0.090696550,-0.746595044,0.655898494,1.570796327
-0.058060353,0.110941341,-0.765800865,0.654859523,1.570796327
-0.048487934,0.130988948,-0.783841680,0.652852731,1.570796327
-0.038858797,0.150773822,-0.800673277,0.649899456,1.570796327
-0.029184109,0.170230991,-0.816258397,0.646027405,1.570796327
-0.019475156,0.189296362,-0.830566896,0.641270534,1.570796327
-0.009743309,0.207907059,-0.843575911,0.635668851,1.570796327
